,GAZP,LKOH,SNGSP,BANEP,TATNP,GMKN,PLZL,RASP,TRMK,MTLR,SBER,VTBR,BSPB,AFKS,CBOM,MGNT,PIKK,MVID,ALRS,TTLK,MTSS,RTKM,RTKMP,AFLT,MGTS,IRAO,OGKB,TGKA,UPRO,LSNGP
TTLK,0.00017865711438560424,0.00011824350213902998,7.881745705865533e-05,0.00011035860853350722,0.00013761744636718666,0.00011759534481495647,0.0001061040823690221,0.00018490481748795524,0.00015920654184765735,0.00019843305084847664,0.0001087531616608509,0.00019289417646282708,9.374521363069665e-05,0.00019757890698227608,0.00014036478678809987,0.00013208559248307564,0.0001718468460782817,0.00018861552400316055,0.00014559646392229056,0.0004741375717965619,0.00012001436414595343,0.00018640107028783753,0.00018205512196754173,0.00017364279056959105,8.82715375845004e-05,0.00012314516573614824,0.000190775965685318,0.00016558541506766442,0.00022629749198747607,6.015898994161981e-05
MTSS,0.0002530166688895949,0.0001313218811464425,0.00010622625962054882,0.00014402481808162775,0.0001811829414978816,0.0002044147077305178,0.0001614175613519233,0.00020788173365511882,0.00020089345312252128,0.0002666838244740505,0.00015501807987392105,0.00021390714364271038,0.00012086875844784843,0.00027454843464944415,0.00020911290764401535,0.0001458557851948771,0.0002879671109104647,0.00017002056645660236,0.0002025643425949209,0.00012001436414595343,0.00034545312331710963,0.0002534930903424717,0.00020198478325707915,0.00022380125881483055,7.214166421263143e-05,0.00013116559763379733,0.0002084690060797487,0.00015755058021630746,0.0002656197153348647,8.848460597170308e-05
RTKM,0.00033821530491474043,0.00021407727787584296,0.000149855244737809,0.00018602875960051487,0.00026612974252743324,0.0002799506907628704,0.0001874456893381524,0.00027626951515475316,0.00029447150305826576,0.00037426440033681244,0.00020659554710134235,0.0002701800372004584,0.00014810233882543383,0.00041458397982663996,0.0002936671999791972,0.00025033910204240483,0.0004362898238721218,0.0003431732275790537,0.0002753821103541406,0.00018640107028783753,0.0002534930903424717,0.0005791112915958007,0.00040020320059851476,0.0002980258234210299,8.455698991572933e-05,0.0001819759439255721,0.00027148738811398783,0.00022973403908677098,0.0003813384041599466,8.218458105689543e-05
RTKMP,0.0002895698291274298,0.00018729889464406672,0.00013138269481860482,0.00015863238553173696,0.00023559157678975528,0.00023700743813802016,0.0001670604369988702,0.0002473253866982378,0.0002286860924163626,0.00030666787087460994,0.00016834615474072028,0.00023307810608242876,0.00012344083780703303,0.0003289287569741163,0.00025186976200191897,0.00018990721443666703,0.000336571542553354,0.00024355250134677702,0.0002435771111797064,0.00018205512196754173,0.00020198478325707915,0.00040020320059851476,0.0003968831361228859,0.00025762956262981274,6.693737339403013e-05,0.0001614640684748043,0.00020588215343042148,0.00018248042142153593,0.00032192571668208686,8.635239335114e-05
AFLT,0.00036385271440155984,0.0002178190925325019,0.0001453267987904154,0.00018937955919980445,0.00027074164453340675,0.0002706183087811972,0.00020570671793483596,0.00028003944775954596,0.0002557427405188972,0.0003346130181309352,0.00021368442521989964,0.0002753655245212251,0.0001359281319421105,0.00038961944313944925,0.0002858012971404551,0.0002216072253047163,0.00033619277480760764,0.0002555300773172207,0.0002956093134724935,0.00017364279056959105,0.00022380125881483055,0.0002980258234210299,0.00025762956262981274,0.0004714996498092433,6.49503306397486e-05,0.0001963727518549008,0.0002541965424643204,0.00022137058512137223,0.0004051138217733861,7.029519429497483e-05
MGTS,6.592297467098111e-05,5.6395384227979834e-05,3.3140535695199596e-05,5.9973975640194004e-05,3.344739891397674e-05,1.2802625884423992e-05,0.00017509308998700342,8.98434537759939e-05,9.587415988264628e-05,0.00011751518562758756,4.3575273424524445e-05,0.00010227855833395573,5.487062710251717e-05,9.052468743919855e-05,2.9839040144635656e-05,6.958404281372597e-05,0.00012395329473383431,0.00015654889421103002,4.369048760241801e-05,8.82715375845004e-05,7.214166421263143e-05,8.455698991572933e-05,6.693737339403013e-05,6.49503306397486e-05,0.0006368489000913089,4.6708661063058576e-05,0.00011585633704786063,0.00010425370876257495,5.8376738772279305e-05,3.561391057215053e-05
IRAO,0.00021522311971305843,0.00014085794247873306,9.309696863354064e-05,0.00012411465119217834,0.00016625052896544152,0.00016028581152534443,0.00013816009457496187,0.0001938144252806736,0.00015837998762814202,0.0002462734158898674,0.0001241668920970483,0.00017059906967695486,0.00010245332105673487,0.0002364663498847456,0.00017803988830434136,0.00015306967663607097,0.000214081207692039,0.00014982916226061,0.00018096923869866707,0.00012314516573614824,0.00013116559763379733,0.0001819759439255721,0.0001614640684748043,0.0001963727518549008,4.6708661063058576e-05,0.00022525152078508405,0.00015937899699447594,0.00012387015984849432,0.0002316530301273556,0.00010401158449187233
OGKB,0.0002925427193327756,0.00019052676709827498,0.0001253163520253529,0.00019885179457443394,0.00023731952609892787,0.00022540649480894668,0.00018051095283598114,0.0002422277990534926,0.000267140793117978,0.00033619294970844684,0.00016903992387921972,0.00024716672918048053,0.00012927747823891048,0.00029690771781440395,0.00022843102482185862,0.00017020918421783125,0.00032685723197498117,0.0002481579667897948,0.0002444137190780743,0.000190775965685318,0.0002084690060797487,0.00027148738811398783,0.00020588215343042148,0.0002541965424643204,0.00011585633704786063,0.00015937899699447594,0.0006457901710932757,0.0002680832891742281,0.0003210073786391039,9.627253668349691e-05
TGKA,0.0002526843667295401,0.00016604700276607925,8.85314975614472e-05,0.00015239339937652376,0.00017790673858815448,0.0002037920026603978,0.00012554790077765583,0.00020273874423917872,0.0002094137382278281,0.0002901467194382643,0.0001476197229122101,0.00019867545506042374,9.88952032567769e-05,0.0002797940402562484,0.0001739296458501419,0.00015587513276142908,0.00026451298845430295,0.0001858151367037353,0.0002056692867132737,0.00016558541506766442,0.00015755058021630746,0.00022973403908677098,0.00018248042142153593,0.00022137058512137223,0.00010425370876257495,0.00012387015984849432,0.0002680832891742281,0.0003112109399245896,0.0002643898589136855,9.713376051586912e-05
UPRO,0.000430615951394706,0.0002563610313074835,0.0001701960397631337,0.00022370033942109517,0.000326786529198395,0.00032532910936277634,0.0002597241174305842,0.00030628116153961083,0.000329705561005402,0.0003819794732154606,0.00023869405166099906,0.0003222564499613677,0.00015794265381080297,0.0004333207127010308,0.00035592650909000193,0.0002694023995024046,0.0004495496711779046,0.000311693547008415,0.0003254849551345299,0.00022629749198747607,0.0002656197153348647,0.0003813384041599466,0.00032192571668208686,0.0004051138217733861,5.8376738772279305e-05,0.0002316530301273556,0.0003210073786391039,0.0002643898589136855,0.000703826765772978,9.620745456091675e-05
LSNGP,9.902865658807953e-05,8.552781281663078e-05,3.2850727443645616e-05,6.390108909946706e-05,8.467856736728204e-05,0.00010054108533221175,0.00017916964203492703,9.350351523099885e-05,7.44903599387689e-05,0.0001475215622079337,6.824313735099819e-05,9.882165520643194e-05,3.415778569422126e-05,0.0001233653647139324,0.00010450577073191022,6.485934876415228e-05,0.00011382086805443673,6.62522006859994e-05,9.637771099270211e-05,6.015898994161981e-05,8.848460597170308e-05,8.218458105689543e-05,8.635239335114e-05,7.029519429497483e-05,3.561391057215053e-05,0.00010401158449187233,9.627253668349691e-05,9.713376051586912e-05,9.620745456091675e-05,0.0003162571799474423
