point_id,scenario_name,target_return,portfolio_return,portfolio_risk
56,unrestricted_short,0.010079640041513092,0.010079640041513092,0.03397599207340381
57,unrestricted_short,0.010264027107437682,0.010264027107437682,0.034556699686264646
58,unrestricted_short,0.010448414173362274,0.010448414173362274,0.03513802458020639
59,unrestricted_short,0.010632801239286865,0.010632801239286865,0.03571991776962552
60,unrestricted_short,0.010817188305211457,0.010817188305211457,0.03630237047213651
61,unrestricted_short,0.011001575371136047,0.011001575371136047,0.036885337929871316
62,unrestricted_short,0.011185962437060638,0.011185962437060638,0.03746881408402431
63,unrestricted_short,0.01137034950298523,0.011370349502985232,0.038052757842273
64,unrestricted_short,0.01155473656890982,0.01155473656890982,0.03863716542786205
65,unrestricted_short,0.011739123634834411,0.011739123634834411,0.039221998942868826
66,unrestricted_short,0.011923510700759003,0.011923510700759001,0.03980725652700331
67,unrestricted_short,0.012107897766683593,0.012107897766683591,0.04039290307982339
68,unrestricted_short,0.012292284832608184,0.012292284832608184,0.04097893835353945
69,unrestricted_short,0.012476671898532776,0.012476671898532778,0.04156532970911552
70,unrestricted_short,0.012661058964457366,0.012661058964457364,0.04215207825753785
71,unrestricted_short,0.012845446030381957,0.012845446030381956,0.042739153535240076
72,unrestricted_short,0.013029833096306549,0.01302983309630655,0.043326557799412975
73,unrestricted_short,0.01321422016223114,0.01321422016223114,0.043914262517547056
74,unrestricted_short,0.01339860722815573,0.01339860722815573,0.0445022709143255
75,unrestricted_short,0.013582994294080322,0.013582994294080324,0.04509055617844074
76,unrestricted_short,0.013767381360004913,0.013767381360004913,0.04567912235133289
77,unrestricted_short,0.013951768425929503,0.013951768425929503,0.04626794416193648
78,unrestricted_short,0.014136155491854095,0.014136155491854097,0.04685702634092273
79,unrestricted_short,0.014320542557778686,0.014320542557778686,0.04744634500077846
80,unrestricted_short,0.014504929623703276,0.014504929623703276,0.048035905453209515
1,short_limit_25pct,-6.164858433941169e-05,-6.164858433941169e-05,0.008360550846292886
2,short_limit_25pct,0.0001227384815851793,0.0001227384815851793,0.008381742383688245
3,short_limit_25pct,0.00030712554750977027,0.00030712554750977016,0.008445417300658882
4,short_limit_25pct,0.0004915126134343613,0.0004915126134343612,0.008550690636406
5,short_limit_25pct,0.0006758996793589522,0.0006758996793589521,0.008695976917395246
6,short_limit_25pct,0.0008602867452835431,0.0008602867452835431,0.008879388448946354
7,short_limit_25pct,0.0010446738112081344,0.0010446738112081344,0.00909854600055505
8,short_limit_25pct,0.001229060877132725,0.001229060877132725,0.009351008591134472
9,short_limit_25pct,0.0014134479430573162,0.001413447943057316,0.009634088429876439
10,short_limit_25pct,0.001597835008981907,0.001597835008981907,0.009945239083611062
11,short_limit_25pct,0.001782222074906498,0.0017822220749064979,0.010281846957708526
12,short_limit_25pct,0.0019666091408310892,0.0019666091408310892,0.010641559831660844
